YEAR,MO,DY,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,QV2M
2019,5,6,28.12,34.8,23.87,0,16.36
2019,5,7,27.87,34.8,23.03,0,16.72
2019,5,8,27.73,32.97,24.95,0,16.66
2019,5,9,28.19,34.9,23.51,0,16.72
2019,5,10,29.3,36.93,23.87,0,16.3
2019,5,11,28.94,36.31,23.76,0.03,16.66
2019,5,12,28.55,35.2,24.09,0.63,17.46
2019,5,13,28.52,34.98,24.13,0.21,17.03
2019,5,14,28.65,34.69,24.42,0.02,17.46
2019,5,15,28.8,35.19,24.56,0.03,17.58
2019,5,16,27.89,32.64,24.87,0.87,18.13
2019,5,17,27.51,31.79,24.49,0.64,18.31
2019,5,18,27.9,32.73,24.61,0.66,18.01
2019,5,19,28.02,34.84,22.87,2.51,16.72
2019,5,20,28.62,34.92,23.73,0.8,17.09
2019,5,21,28.61,34.84,24.45,0.05,16.54
2019,5,22,29.56,36.27,24.6,0.34,15.81
2019,5,23,28.52,34.64,24.26,1.74,17.33
2019,5,24,27.57,32.58,24.44,3.22,17.52
2019,5,25,27.46,32.95,23.79,1.16,17.7
2019,5,26,28.57,35.48,23.76,0.11,17.46
2019,5,27,29.32,36.05,24.07,0.04,17.64
2019,5,28,29.64,35.28,25.15,0.25,18.25
2019,5,29,29.47,35.3,25.4,0.31,18.68
2019,5,30,28.98,34.7,25.52,0,16.85
2019,5,31,28.18,33.65,25.11,0.02,16.36
2019,6,1,27.65,32.36,24.57,0.04,16.17
2019,6,2,28.86,35.75,24.44,0.06,16.17
2019,6,3,28.27,33.57,25.22,4.66,17.58
2019,6,4,27.05,31.66,24.79,8.26,18.13
2019,6,5,27.05,31,24.25,3.83,18.25
2019,6,6,27.71,32.12,24.62,1.19,18.01
2019,6,7,26.35,29.32,24.62,8.25,18.25
2019,6,8,27.56,32.92,24.33,0.78,17.09
2019,6,9,27.08,30.87,24.51,2.82,18.01
2019,6,10,27.19,32.2,24.53,2.53,17.52
2019,6,11,27.56,32.75,24.19,3.32,17.7
2019,6,12,27.39,32.2,24.4,2.24,18.25
2019,6,13,27.65,31.51,25.3,0.01,17.94
2019,6,14,27.57,32.78,24.3,0.33,15.5
2019,6,15,27.9,33.87,23.85,1.06,17.09
2019,6,16,27.99,32.25,25.29,0,18.13
2019,6,17,27.54,30.98,25.12,0,17.82
2019,6,18,27.74,31.69,25.35,0.05,17.94
2019,6,19,27.57,30.65,25.15,0.04,18.19
2019,6,20,26.8,29.87,24.5,0,16.36
2019,6,21,26.85,30.15,24.43,0.01,16.97
2019,6,22,27.33,31.24,25.17,0.01,17.52
2019,6,23,27.47,31.26,25.06,0.02,17.58
2019,6,24,27.42,31.46,25.1,2.57,18.68
2019,6,25,26.92,30.23,24.78,1.81,18.37
2019,6,26,26.9,30.58,24.52,0,17.58
2019,6,27,27.95,33.96,24.57,0,17.03
2019,6,28,27.83,33.87,24,0,16.36
2019,6,29,28.08,34.44,23.75,0,15.93
2019,6,30,27.62,32.55,24.72,0,16.78
2019,7,1,27.19,31.05,24.81,0,17.64
2019,7,2,27.47,31.99,25.01,0.22,17.58
2019,7,3,27.37,31.73,24.78,0.25,17.58
2019,7,4,28.15,34.15,24.19,0,16.78
2019,7,5,27.42,31.29,24.83,0,17.03
2019,7,6,27.36,32.32,24.62,0,17.09
2019,7,7,27.66,33.84,24.28,0,16.72
2019,7,8,28.38,35.23,23.7,0,16.54
2019,7,9,27.22,32.05,23.64,6.24,16.91
2019,7,10,26.32,32.37,22.29,4.68,16.11
2019,7,11,26.87,32.3,23.31,1.42,16.36
2019,7,12,27.85,34.44,23.05,2.76,16.42
2019,7,13,26.64,31.16,23.63,6.79,17.52
2019,7,14,26.73,32.35,23.21,2.46,16.66
2019,7,15,26.12,30.78,23.23,0.61,16.54
2019,7,16,26.73,31.44,23.9,0.31,16.97
2019,7,17,26.82,31.25,24.12,1.46,16.85
2019,7,18,25.72,30.01,23.53,9.42,17.03
2019,7,19,25.12,27.66,23.69,7.94,17.15
2019,7,20,25.9,29.8,23.64,0.28,16.48
2019,7,21,25.83,30.29,22.75,3.56,15.93
2019,7,22,26.21,31.06,23.19,1.43,16.36
2019,7,23,26.33,31.84,23.18,0.01,15.69
2019,7,24,26.54,32.56,22.73,0.32,16.17
2019,7,25,26.55,31.47,23.5,3.22,16.97
2019,7,26,25.88,30.24,23.05,1.07,16.54
2019,7,27,25.8,30.93,22.51,0.09,16.11
2019,7,28,26.65,33.15,23.09,0,15.81
2019,7,29,26.87,33.29,22.9,0,15.69
2019,7,30,27.08,32.53,23.07,0,16.24
2019,7,31,27.01,32.99,23.3,0.28,16.54
2019,8,1,26.33,29.64,24.01,0.89,17.27
2019,8,2,27.13,32.07,24.27,0.07,16.11
2019,8,3,27.05,32.08,24.12,0,17.03
2019,8,4,27.34,33.23,23.99,0.06,16.72
2019,8,5,26.21,29.79,23.75,1.78,17.15
2019,8,6,26.82,31.29,24.42,1.23,17.7
2019,8,7,26.67,31.24,24.42,4.91,17.27
2019,8,8,26.01,29.61,24.04,20.05,16.85
2019,8,9,26.29,30.74,23.6,4.71,16.6
2019,8,10,26.2,31.23,23.19,4.51,16.3
2019,8,11,25.46,31.3,22.31,3.52,16.42
2019,8,12,25.32,28.62,22.76,1.15,16.24
2019,8,13,25.55,29.61,23.5,10.55,16.66
2019,8,14,25.77,30.45,23.23,3.94,16.72
2019,8,15,26.37,31.05,23.67,0.22,16.85
2019,8,16,26.05,30.38,23.39,14.19,16.6
2019,8,17,24.16,27.1,21.85,7.91,15.75
2019,8,18,25.57,31.61,21.37,3.92,15.56
2019,8,19,25.83,31.2,22.62,3.83,16.91
2019,8,20,26.01,30.51,23.26,1.26,17.27
2019,8,21,26.12,30.8,23.37,2.66,16.6
2019,8,22,25.13,27.99,23.44,4.99,17.09
2019,8,23,25.02,28.54,22.51,7.04,16.3
2019,8,24,25.45,30.29,22.45,1.81,16.05
2019,8,25,25.25,29.45,22.83,4.82,15.62
2019,8,26,25.13,29.83,21.97,1.9,15.38
2019,8,27,25.14,28.58,22.49,4.1,16.48
2019,8,28,26.03,30.28,23.23,1.21,17.15
2019,8,29,25.67,29.84,23.25,5.21,16.85
2019,8,30,25.26,28.73,22.97,2.3,16.6
2019,8,31,26.09,30.01,23.8,1.49,17.03
2019,9,1,25.9,30.34,23.65,3.41,17.21
2019,9,2,26.23,31.31,23.15,1.67,17.03
2019,9,3,25.73,29.87,23.4,0.67,17.27
2019,9,4,25.55,29.51,23.49,1.37,17.03
2019,9,5,25.69,30.08,23.16,4.03,17.09
2019,9,6,26.17,30.44,23.2,2.49,17.76
2019,9,7,26.44,30.3,23.82,0.2,17.82
2019,9,8,26.58,31.08,23.96,0.01,16.97
2019,9,9,27.12,33.5,23.15,0.67,15.99
2019,9,10,26.08,29.94,23.16,1.14,17.46
2019,9,11,26.19,30.37,23.81,7.44,17.82
2019,9,12,25.73,30.71,22.83,10.5,16.3
2019,9,13,25.39,30.53,22.32,5.24,16.48
2019,9,14,25.48,30.05,22.44,5.64,16.72
2019,9,15,25.44,29.12,22.87,17.32,17.64
2019,9,16,24.68,27.47,22.71,16.94,17.15
2019,9,17,25.34,29.24,22.83,3.05,17.33
2019,9,18,26.06,31.12,22.78,2.45,17.27
2019,9,19,25.65,30.23,22.46,4.62,17.27
2019,9,20,24.03,27.86,21.19,3.99,15.2
2019,9,21,25.33,29.65,21.94,1.61,16.78
2019,9,22,25.23,28.82,23.02,4.07,17.33
2019,9,23,25.62,30.62,22.85,20.6,17.52
2019,9,24,24.99,28.74,22.91,15.02,17.27
2019,9,25,25.1,28.64,22.34,22.03,17.4
2019,9,26,25.84,30.63,21.75,2.26,16.85
2019,9,27,25.41,29.51,22.64,4.78,16.91
2019,9,28,24.68,28.5,21.73,5.57,16.66
2019,9,29,24.57,27.85,21.73,19.26,16.24
2019,9,30,25.51,30.83,20.9,1.94,16.3
2019,10,1,25.59,30.54,21.9,0.34,16.85
2019,10,2,25.91,30.65,22.58,0.1,17.15
2019,10,3,26.39,31.67,22.19,5.9,17.27
2019,10,4,25.14,28.94,23.1,10.74,17.64
2019,10,5,25.65,30.18,22.75,15.56,17.46
2019,10,6,24.67,28.56,21.87,20.89,16.97
2019,10,7,24.43,28.33,21.74,11.07,16.85
2019,10,8,25.37,29.8,21.69,8.72,17.52
2019,10,9,26.17,30.64,23,7.14,18.13
2019,10,10,25,27.67,23.08,10.08,18.07
2019,10,11,24.68,27.76,22.51,6.74,17.7
2019,10,12,25.38,29.08,22.79,5.61,17.82
2019,10,13,25.6,29.7,22.74,23.56,18.07
2019,10,14,25.3,29.53,22.07,8.86,18.01
2019,10,15,25.05,28.49,22.28,14.82,17.94
2019,10,16,24.68,27.73,22.3,22.75,17.88
2019,10,17,24.33,27.18,22.05,11.56,17.82
2019,10,18,25.15,29.41,22.36,7.48,17.64
2019,10,19,24.57,27.84,22.34,13.84,18.01
2019,10,20,24.41,27.08,22.12,19.3,17.76
2019,10,21,24.55,27.4,22.86,38.39,18.25
2019,10,22,23.9,26.43,22.1,4.01,17.46
2019,10,23,24.4,28.09,21.34,5.41,17.52
2019,10,24,23.75,25.9,22.14,26.85,17.46
2019,10,25,23.37,25.65,21.67,2.21,16.72
2019,10,26,23.48,26.44,21.22,15.7,17.03
2019,10,27,23.35,25.71,21.85,24.84,16.97
2019,10,28,23.89,27.77,20.83,24.47,17.03
2019,10,29,24.32,27.89,22.02,32.66,18.01
2019,10,30,24.38,28.14,21.87,5.69,17.76
2019,10,31,24.01,27.89,21.4,0.95,17.03
2019,11,1,24.82,29.57,20.93,0.67,17.21
2019,11,2,23.72,27.33,20.94,5.12,15.99
2019,11,3,24.05,28.07,20.02,6.46,15.62
2019,11,4,24.79,28.61,21.08,15.98,17.52
2019,11,5,24.76,28.01,22.61,3.22,17.82
2019,11,6,24.86,29.12,21.29,0.16,17.64
2019,11,7,24.9,29.37,21.62,0.61,17.76
2019,11,8,24.93,29.58,20.9,2.89,17.58
2019,11,9,24.8,27.84,22.48,4.99,18.31
2019,11,10,25.59,29.71,22.23,4.96,18.31
2019,11,11,24.95,28.43,22.54,7.89,17.4
2019,11,12,24.45,29.12,20.44,3.4,17.03
2019,11,13,24.22,28.7,20.51,2.06,17.21
2019,11,14,24.68,29.79,20.18,0.32,16.97
2019,11,15,24.88,29.23,21.32,11.23,18.07
2019,11,16,25.2,29.76,22.27,17.77,18.43
2019,11,17,24.81,29.55,20.98,3.64,17.46
2019,11,18,24.48,28.87,20.29,7.91,17.82
2019,11,19,25.06,28.89,21.89,7.98,18.31
2019,11,20,24.62,28.87,21.55,2.94,17.64
2019,11,21,24.55,28.98,20.9,1.32,17.46
2019,11,22,23.94,26.94,21.98,8.22,17.46
2019,11,23,24.12,26.24,22.34,16.71,18.31
2019,11,24,24.82,28.18,22.76,17.76,18.43
2019,11,25,24.71,28.68,21.53,18.27,17.88
2019,11,26,24.51,28.17,22.09,16.66,17.76
2019,11,27,25,28.89,21.5,11.64,18.86
2019,11,28,25.39,29.05,22.87,22.07,19.1
2019,11,29,25.38,29,22.78,20.79,18.8
2019,11,30,25.57,29.94,22.44,70.48,18.37
2019,12,1,25.1,29.36,22.08,34.4,18.07
2019,12,2,24.33,27.8,21.98,9.21,17.88
2019,12,3,23.97,27.28,21.44,23.49,17.33
2019,12,4,24.48,26.83,22.94,32.01,18.43
2019,12,5,24.57,27.66,22.4,41.49,18.49
2019,12,6,23.9,26.62,22.01,9.65,17.82
2019,12,7,23.99,27.44,21.72,0.05,17.64
2019,12,8,23.54,25.94,21.69,0.92,17.46
2019,12,9,23.56,25.35,22.13,12.96,17.94
2019,12,10,24.33,27.39,22.43,18.27,18.37
2019,12,11,23.72,27.22,21.58,6.89,17.4
2019,12,12,23.31,26.42,20.82,1.18,17.21
2019,12,13,24.28,28.2,21.25,0.69,17.64
2019,12,14,23.84,27.22,21.18,2.41,17.58
2019,12,15,23.83,27.57,21.55,1.06,17.33
2019,12,16,23.62,27.51,20.3,2.25,16.97
2019,12,17,24.14,27.67,21.69,10.01,17.88
2019,12,18,24.63,28.2,22.45,13.29,18.31
2019,12,19,24.24,26.55,22.84,36.19,18.43
2019,12,20,24.44,27.98,22.35,38.44,18.25
2019,12,21,24.37,28.05,21.57,12.02,18.13
2019,12,22,24.48,27.26,22.83,3.05,18.55
2019,12,23,23.13,24.43,22.23,14.87,17.4
2019,12,24,24.84,29.04,22.25,0.76,18.01
2019,12,25,24.26,28.38,21.1,2.62,17.82
2019,12,26,23.12,27.53,19.35,0.43,16.17
2019,12,27,22.48,27.24,18.2,0.09,15.69
2019,12,28,22.82,27.39,19.37,0,15.93
2019,12,29,22.25,26.98,18.09,0,15.08
2019,12,30,22.85,27.64,18.5,0,15.62
2019,12,31,24.11,28.92,20.01,0.18,17.21
2020,1,1,24.65,29.4,20.85,1.05,17.52
2020,1,2,24.65,28.89,21.62,5.74,18.19
2020,1,3,24.99,29.3,22.08,1.15,17.94
2020,1,4,24.3,28.76,20.88,1.07,17.4
2020,1,5,23.95,28.79,20.31,0.19,17.15
2020,1,6,23.87,27.76,20.77,4.23,17.27
2020,1,7,23.94,27.82,20.91,5.23,17.15
2020,1,8,23.06,27.19,18.74,0.67,16.17
2020,1,9,22.49,27.61,18.23,0.01,15.44
2020,1,10,22,27.19,17.44,0.01,14.59
2020,1,11,23.01,27.63,18.62,1.02,16.36
2020,1,12,23.26,27.32,19.12,0.45,16.24
2020,1,13,21.56,26.58,17.69,0,13.98
2020,1,14,21.07,26.48,16.56,0,13.24
2020,1,15,21.55,26.95,17.05,0,13.43
2020,1,16,22.9,28.47,17.56,2.16,15.75
2020,1,17,24.01,28.87,19.97,3.36,17.03
2020,1,18,24.12,28.69,20.57,0.6,17.15
2020,1,19,24.14,28.7,20.85,3.23,17.52
2020,1,20,24.08,28.27,21.08,2.93,17.15
2020,1,21,24.23,28.47,21.12,4.28,17.27
2020,1,22,24.62,28.31,22.58,10.95,18.25
2020,1,23,24.47,27.99,22.51,2.64,17.82
2020,1,24,24.09,28.33,20.93,0.28,17.03
2020,1,25,23.27,28.23,19.64,0.01,15.99
2020,1,26,22.73,28.06,17.99,0,15.08
2020,1,27,22.11,27.53,17.85,0,14.22
2020,1,28,22.13,27.94,17.44,0,13.98
2020,1,29,22.02,28.23,16.58,0,14.34
2020,1,30,22.13,28,17.4,0,14.83
2020,1,31,21.83,27.94,16.65,0,14.83
2020,2,1,22.03,27.61,17.91,0,14.71
2020,2,2,22.5,28.05,17.73,0,14.77
2020,2,3,22.76,27.79,18.48,0,15.38
2020,2,4,23.24,28.22,19.14,0,16.17
2020,2,5,23.46,28.18,20.15,0.05,16.17
2020,2,6,23.73,28.49,20.35,0.01,16.17
2020,2,7,23.19,28.47,19.25,0,15.5
2020,2,8,23.01,29.15,18.24,0,14.83
2020,2,9,22.2,28.08,17.62,0,14.4
2020,2,10,22.75,28.29,17.71,0,14.65
2020,2,11,23.38,28.48,18.9,0.82,15.81
2020,2,12,24.54,28.99,21.96,3.89,17.27
2020,2,13,24.25,28.76,21.36,1.35,16.72
2020,2,14,24.19,28.77,20.87,0.15,16.72
2020,2,15,24.72,30.41,20.49,0.01,16.54
2020,2,16,24.03,29.06,19.66,0,16.11
2020,2,17,23.18,28.47,18.25,0,15.32
2020,2,18,21.91,28.44,16.32,0,13.49
2020,2,19,22.33,28.86,16.3,0,14.1
2020,2,20,24.15,29.66,19.33,5.34,16.11
2020,2,21,25.27,29.26,22.28,8.54,18.13
2020,2,22,24.81,28.48,22.52,2.24,17.58
2020,2,23,24.6,29.67,21.57,0.8,16.91
2020,2,24,24.98,30.08,21.28,0.17,16.85
2020,2,25,24.96,30.15,21.23,0.01,16.91
2020,2,26,24.52,30.01,20.51,0,16.36
2020,2,27,24.34,30.69,19.65,0,16.05
2020,2,28,24.02,30.3,19.21,0,15.01
2020,2,29,24.22,30.64,18.65,0,15.08
2020,3,1,24.83,31.12,19.91,0,15.44
2020,3,2,25.3,32.18,19.81,0,14.83
2020,3,3,25.42,32.8,19.62,0,14.04
2020,3,4,25.82,32.82,20.59,0,14.04
2020,3,5,26.05,33.06,19.85,0.11,15.2
2020,3,6,26.7,33.24,21.84,4.9,17.03
2020,3,7,26.67,32.72,22.04,5.19,16.91
2020,3,8,26.29,33.37,20.92,0.09,15.87
2020,3,9,26.01,33.58,20.27,0.03,15.01
2020,3,10,25.72,33.73,19.53,0.29,14.83
2020,3,11,26.19,34.23,19.27,0,14.47
2020,3,12,25.86,33.96,19.71,0,14.4
2020,3,13,25.96,34.08,18.95,0,14.47
2020,3,14,26.84,35.23,20.12,0,14.47
2020,3,15,27.01,34.74,20.56,0,15.26
2020,3,16,27.12,34.27,22.19,0.93,16.72
2020,3,17,27.11,33.93,21.78,3.79,16.91
2020,3,18,27.25,33.66,22.9,1.78,17.09
2020,3,19,26.28,30.78,22.53,0.1,16.3
2020,3,20,26.85,33.63,21.95,0.35,14.28
2020,3,21,27.22,35.28,20.87,1.59,13.79
2020,3,22,27.28,36.1,19.94,0.16,13.55
2020,3,23,27.01,35.98,19.88,1.18,13.55
2020,3,24,26.69,35.19,19.23,0.15,14.34
2020,3,25,27.39,35.51,21.15,0.44,14.22
2020,3,26,25.92,34.65,19.37,0.12,13.61
2020,3,27,26.5,35.32,19.65,0.06,13.92
2020,3,28,27.32,36.34,19.69,0.01,13.37
2020,3,29,28.27,35.95,22.16,1.01,15.69
2020,3,30,27.7,35.65,22.34,4.17,15.93
2020,3,31,26.99,35.62,20.15,0.21,13.55
2020,4,1,26.82,36.12,20.45,0.12,12.7
2020,4,2,27.02,36.76,18.98,0.01,13.37
2020,4,3,27.78,36.84,19.79,0.5,14.16
2020,4,4,27.96,35.08,22.61,4.86,16.54
2020,4,5,28.69,36.25,23.31,1.66,16.66
2020,4,6,28.82,36.99,22.45,0.07,13.49
2020,4,7,29.09,36.72,22.83,0.11,14.83
2020,4,8,28.53,34.8,23.65,2.44,16.36
2020,4,9,28.43,34.75,23.22,1.6,15.62
2020,4,10,28.08,35.51,22.68,10.82,16.24
2020,4,11,28.36,36.42,22.9,2.43,15.75
2020,4,12,27.87,35.13,22.99,6.03,17.09
2020,4,13,28.58,36.13,22.75,1.55,16.6
2020,4,14,28.04,34.82,23.09,15.45,16.91
2020,4,15,28.27,34.96,23.4,5.81,17.33
2020,4,16,29.07,35.99,24.18,3.09,16.6
2020,4,17,28.44,35.12,24.08,12.82,17.52
2020,4,18,29.12,36.37,23.87,4.82,16.72
2020,4,19,28.33,35.1,23.83,4.25,17.09
2020,4,20,28.54,35.27,23.4,0.83,16.97
2020,4,21,29.15,36.12,23.83,0.86,17.33
2020,4,22,28.59,34.85,24.29,3.12,17.82
2020,4,23,27.05,30.23,24.65,7.69,18.98
2020,4,24,27.08,30.71,24.51,10.29,18.43
2020,4,25,28.73,35.39,23.47,0.8,17.46
2020,4,26,28.72,34.87,24.2,1.81,17.82
2020,4,27,28.77,34.92,24.29,5.95,18.62
2020,4,28,28.46,34.76,24.01,1.61,17.7
2020,4,29,27.01,30.64,24.67,0.61,18.01
2020,4,30,26.12,29.12,23.04,3.44,17.82
2020,5,1,27.98,34.86,22.65,1.93,17.03
2020,5,2,28.94,36,23.11,0.44,17.21
2020,5,3,29.19,35.51,23.95,1.29,17.21
2020,5,4,28.59,33.79,24.85,2,18.07
2020,5,5,27.52,32.02,24.65,10.49,18.13
2020,5,6,27.82,33.5,23.82,14.14,17.88
2020,5,7,27.58,33.59,23.87,17.69,18.19
2020,5,8,26.76,30.99,23.91,6.32,18.74
2020,5,9,27.15,30.9,24.37,20.22,19.41
2020,5,10,27.01,29.51,24.94,18.8,19.65
2020,5,11,26.27,28.5,24.12,15,19.35
2020,5,12,26.68,31.52,23.33,8.71,18.43
2020,5,13,26.62,31.05,22.74,3.05,17.52
2020,5,14,27.16,31.83,23.22,4.52,18.74
2020,5,15,26.36,29.57,24.08,23.61,19.65
2020,5,16,25.89,28.62,23.73,19.72,19.59
2020,5,17,26.56,29.24,24.63,11.42,19.84
2020,5,18,26.13,27.97,24.9,13.16,19.65
2020,5,19,25.23,26.43,24.33,5.53,18.86
2020,5,20,26.55,29.42,24.9,1.5,19.29
2020,5,21,25.88,28.87,23.89,4.47,17.94
2020,5,22,26.15,29.83,23.77,4.91,18.8
2020,5,23,26.48,30.56,24.08,0.93,18.86
2020,5,24,26.65,30.47,23.99,0.89,19.17
2020,5,25,25.9,28.36,24.33,0.31,18.49
2020,5,26,26.68,29.98,24.3,1.7,19.35
2020,5,27,26.43,29.86,24.33,2.33,19.53
2020,5,28,26.67,30.35,24.48,2.28,19.1
2020,5,29,25.9,29.44,23.69,2.79,18.62
2020,5,30,26.06,30,23.48,1.03,18.13
2020,5,31,26.76,31.38,23.73,0.73,18.55
2020,6,1,26.15,29.58,23.47,0.22,18.19
2020,6,2,26.21,30.66,23.37,0.26,17.4
2020,6,3,25.99,30.9,22.79,0.01,16.66
2020,6,4,26.21,31.19,22.7,0.35,17.52
2020,6,5,26.35,30.73,23.03,2.2,18.25
2020,6,6,25.48,28.69,23.27,14.72,17.4
